backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
sasrec,cold_positive_subset,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5330969813376891,0.38129890453834114,0.08450704225352113,0.5985915492957746,0.3695178581572832,0.5147013050081668,1.0,6.0,True,0.0,0.0,426
sasrec,cold_positive_subset,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6089931198846243,0.4810641627543036,0.20422535211267606,0.6948356807511737,0.48671948399564885,0.5839081067080031,1.0,6.0,True,0.14236835173309484,0.26164580340652577,426
sasrec,cold_positive_subset,C,C_SASRec_plus_evidence_risk,0.2,1.0,0.0,minmax,0.5459852760538342,0.39831768388106414,0.107981220657277,0.596244131455399,0.3806959321177126,0.5309342681478614,1.0,6.0,True,0.024176266546857433,0.044633695875230854,426
sasrec,cold_positive_subset,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1,0.5,0.5,minmax,0.6126177429471935,0.48618935837245697,0.22065727699530516,0.6807511737089202,0.48389768400403155,0.5883688968764597,1.0,6.0,True,0.14916753310057132,0.2750872152678022,426
gru4rec,cold_positive_subset,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.47977791112440804,0.31510764662212326,0.0556792873051225,0.39643652561247217,0.2397632481466782,0.42741783462300614,1.0,6.0,True,0.0,0.0,449
gru4rec,cold_positive_subset,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.5644143756665039,0.4243504083147736,0.16481069042316257,0.5701559020044543,0.39256115547248416,0.5247476510442297,1.0,6.0,True,0.1764075889691164,0.3466839439274355,449
gru4rec,cold_positive_subset,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.49267224262788084,0.3321455085374907,0.0779510022271715,0.36971046770601335,0.2398689007715594,0.4426921696038154,1.0,6.0,True,0.026875625585291392,0.05406997290611364,449
gru4rec,cold_positive_subset,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.0,0.5,0.5,zscore,0.5644143756665039,0.4243504083147736,0.16481069042316257,0.5701559020044543,0.39256115547248416,0.5247476510442297,1.0,6.0,True,0.1764075889691164,0.3466839439274355,449
bert4rec,cold_positive_subset,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.4777017832630587,0.3119153674832962,0.0400890868596882,0.40979955456570155,0.24331531063474798,0.42454837226921127,1.0,6.0,True,0.0,0.0,449
bert4rec,cold_positive_subset,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.5644145779141849,0.4241276911655531,0.1603563474387528,0.6013363028953229,0.406507390454985,0.5255411877843563,1.0,6.0,True,0.18152076816379736,0.35975246935618255,449
bert4rec,cold_positive_subset,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.49546965122657705,0.3357461024498886,0.0779510022271715,0.40089086859688194,0.25750032231944403,0.44390290921762066,1.0,6.0,True,0.03719447694365009,0.07640128525526602,449
bert4rec,cold_positive_subset,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.5722794220326092,0.4350408314773571,0.18485523385300667,0.5812917594654788,0.4061101348154681,0.5302326939329987,1.0,6.0,True,0.19798468852997542,0.39473997381887443,449
