backbone,stratum,method_group,method,lambda,alpha,beta,normalization,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,HR@10,candidate_pool_size_mean,hr10_trivial_flag,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,num_users
sasrec,warm_positive_subset,A,A_SASRec_only,0.0,1.0,0.0,minmax,0.5871702236123263,0.45698198198198203,0.24324324324324326,0.5135135135135135,0.39784090931467614,0.5245932853365927,1.0,6.0,True,0.0,0.0,74
sasrec,warm_positive_subset,B,B_SASRec_plus_calibrated_relevance,0.0,0.5,0.5,minmax,0.6212618182312614,0.4993243243243244,0.2702702702702703,0.5945945945945946,0.4572029263513569,0.6020073756848819,1.0,6.0,True,0.05806083695661606,0.09265648102513555,74
sasrec,warm_positive_subset,C,C_SASRec_plus_evidence_risk,0.2,1.0,0.0,minmax,0.5844683570703498,0.45382882882882886,0.24324324324324326,0.4864864864864865,0.38432739580116265,0.5122641975214265,1.0,6.0,True,-0.004601504697146127,-0.006899950714637803,74
sasrec,warm_positive_subset,D,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.1,0.5,0.5,minmax,0.6240310570351476,0.5033783783783784,0.28378378378378377,0.5540540540540541,0.44192009184363445,0.604776614488768,1.0,6.0,True,0.06277708225061211,0.1015278462296697,74
gru4rec,warm_positive_subset,A,A_GRU4Rec_only,0.0,1.0,0.0,minmax,0.731703011945115,0.6447712418300654,0.47058823529411764,0.7647058823529411,0.638185059383758,0.7107496479975842,1.0,6.0,True,0.0,0.0,51
gru4rec,warm_positive_subset,B,B_GRU4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.7579148615756549,0.6781045751633987,0.49019607843137253,0.8235294117647058,0.6876697459383823,0.7509304069264781,1.0,6.0,True,0.03582307193305097,0.05169792194627469,51
gru4rec,warm_positive_subset,C,C_GRU4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.7007208403166171,0.6049019607843137,0.43137254901960786,0.7254901960784313,0.5938348729691911,0.6588141124215556,1.0,6.0,True,-0.042342550355419194,-0.06183476938672085,51
gru4rec,warm_positive_subset,D,D_GRU4Rec_plus_calibrated_relevance_plus_evidence_risk,0.0,0.5,0.5,zscore,0.7579148615756549,0.6781045751633987,0.49019607843137253,0.8235294117647058,0.6876697459383823,0.7509304069264781,1.0,6.0,True,0.03582307193305097,0.05169792194627469,51
bert4rec,warm_positive_subset,A,A_Bert4Rec_only,0.0,1.0,0.0,minmax,0.5611910214720786,0.42516339869281045,0.21568627450980393,0.45098039215686275,0.35643858396359057,0.44245529243607123,1.0,6.0,True,0.0,0.0,51
bert4rec,warm_positive_subset,B,B_Bert4Rec_plus_calibrated_relevance,0.0,0.5,0.5,zscore,0.6052705398120349,0.48006535947712414,0.2549019607843137,0.5490196078431373,0.4302005350840399,0.5424104479694427,1.0,6.0,True,0.0785463712949825,0.12913143735588004,51
bert4rec,warm_positive_subset,C,C_Bert4Rec_plus_evidence_risk,0.5,1.0,0.0,minmax,0.5156882358741173,0.36437908496732024,0.11764705882352941,0.43137254901960786,0.30274955469188297,0.40393696148728686,1.0,6.0,True,-0.08108252601511948,-0.142966948501153,51
bert4rec,warm_positive_subset,D,D_Bert4Rec_plus_calibrated_relevance_plus_evidence_risk,0.05,0.5,0.5,zscore,0.5985245396475242,0.47189542483660135,0.2549019607843137,0.5098039215686274,0.40802544187675643,0.5286799931557552,1.0,6.0,True,0.06652550868956321,0.10991544965411236,51
