domain,dataset_type,backbone,method,NDCG@10,MRR,HR@1,HR@3,NDCG@3,NDCG@5,relative_NDCG_vs_backbone,relative_MRR_vs_backbone,fallback_rate,positive_fallback_rate,claim_level
beauty,beauty_full,SASRec-style,Backbone only,0.5446339551000305,0.399571771154505,0.1459403905447071,0.513189448441247,0.3530685820046056,0.4931370613146296,0.0,0.0,0.0883864337101747,,beauty_full_primary
beauty,beauty_full,SASRec-style,Backbone + calibrated relevance,0.6052841046994109,0.4789768185451639,0.2483727303871188,0.5954093867762932,0.4457984099532672,0.5644038691114742,0.1113594718644395,0.1987253683142567,0.0883864337101747,,beauty_full_primary
beauty,beauty_full,SASRec-style,Backbone + evidence risk,0.5560325835622358,0.4146340070800502,0.1671805412812607,0.5292908530318602,0.3713356708082564,0.5047797508848225,0.0209289713861335,0.0376959460424972,0.0883864337101747,,beauty_full_primary
beauty,beauty_full,SASRec-style,Backbone + calibrated relevance + evidence risk,0.6098952985924221,0.4853146054584903,0.2610483042137718,0.5940390544707091,0.4503296727695445,0.5665744519246085,0.1198260646095877,0.2145868164216,0.0883864337101747,,beauty_full_primary
beauty,beauty_full,LLM-ESR GRU4Rec,Backbone only,0.5347038252309285,0.3872559095580678,0.1394313120931826,0.4816718054128126,0.3318573596938823,0.4692954482902298,0.0,0.0,0.1336073997944501,,beauty_full_primary
beauty,beauty_full,LLM-ESR GRU4Rec,Backbone + calibrated relevance,0.5919794995363593,0.4622130866735183,0.23706748886605,0.5556697499143542,0.4174950030600057,0.5425571251688537,0.1071166346728387,0.1935598018400567,0.1336073997944501,,beauty_full_primary
beauty,beauty_full,LLM-ESR GRU4Rec,Backbone + evidence risk,0.5453996583443498,0.401809980586959,0.1651250428228845,0.4607742377526549,0.3341208782753436,0.4831640758074909,0.0200032851996185,0.0375825666430761,0.1336073997944501,,beauty_full_primary
beauty,beauty_full,LLM-ESR GRU4Rec,Backbone + calibrated relevance + evidence risk,0.6037383473477781,0.4778348749571772,0.2613908872901678,0.5618362452894826,0.4316185920153717,0.557000645168137,0.1291079638097499,0.2338995046001417,0.1336073997944501,,beauty_full_primary
beauty,beauty_full,LLM-ESR Bert4Rec,Backbone only,0.5230836197575035,0.3728160328879753,0.1329222336416581,0.4436450839328537,0.3062702402131396,0.448156859605285,0.0,0.0,0.1336073997944501,,beauty_full_primary
beauty,beauty_full,LLM-ESR Bert4Rec,Backbone + calibrated relevance,0.5844328586952764,0.4521125956377754,0.2178828365878725,0.5584104145255224,0.4118297053394071,0.5336681482338386,0.1172838082106524,0.2126962248257905,0.1336073997944501,,beauty_full_primary
beauty,beauty_full,LLM-ESR Bert4Rec,Backbone + evidence risk,0.5364423634924916,0.3902934795021126,0.1555327166837958,0.4614594039054471,0.326617204673816,0.4685933754719159,0.0255384478320715,0.0468795466727928,0.1336073997944501,,beauty_full_primary
beauty,beauty_full,LLM-ESR Bert4Rec,Backbone + calibrated relevance + evidence risk,0.593122520330362,0.4642286171063149,0.2439191503939705,0.5357999314833847,0.4118381566461166,0.5384528321411213,0.1338961839511009,0.2451948847538097,0.1336073997944501,,beauty_full_primary
movies_small,movies_small,sasrec,A_SASRec_only,0.5410998211943354,0.3925,0.108,0.586,0.3737096697285773,0.5161653180967738,0.0,0.0,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,B_SASRec_plus_calibrated_relevance,0.6108088872399267,0.4837666666666667,0.214,0.68,0.4823510334642936,0.5865867985165812,0.1288284773255456,0.2325265392781316,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,B_SASRec_plus_calibrated_relevance,0.572529940983919,0.4325,0.132,0.672,0.4399696285357227,0.5518699241316537,0.0580856222059172,0.1019108280254776,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,B_SASRec_plus_calibrated_relevance,0.5656397865472732,0.4235,0.126,0.656,0.4253035954357219,0.5471170128176561,0.0453520115729705,0.0789808917197451,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,C_SASRec_plus_evidence_risk,0.5410998211943354,0.3925,0.108,0.586,0.3737096697285773,0.5161653180967738,0.0,0.0,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6108088872399267,0.4837666666666667,0.214,0.68,0.4823510334642936,0.5865867985165812,0.1288284773255456,0.2325265392781316,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.572529940983919,0.4325,0.132,0.672,0.4399696285357227,0.5518699241316537,0.0580856222059172,0.1019108280254776,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.5656397865472732,0.4235,0.126,0.656,0.4253035954357219,0.5471170128176561,0.0453520115729705,0.0789808917197451,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,C_SASRec_plus_evidence_risk,0.5499971221980577,0.4036999999999999,0.114,0.604,0.3888519838142924,0.5293371053457925,0.0164429937974916,0.0285350318471335,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6138703105719715,0.4879,0.222,0.674,0.4825654549428648,0.5896482218486259,0.1344862565598606,0.2430573248407642,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.5757062201900122,0.4368999999999999,0.146,0.662,0.438041735928579,0.5571834464603951,0.0639556651844612,0.1131210191082801,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.5675842213061284,0.4264,0.136,0.638,0.4197324383928644,0.5483490332022952,0.0489454978072911,0.0863694267515923,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,C_SASRec_plus_evidence_risk,0.5486652140953049,0.4021666666666666,0.116,0.588,0.3808045457857207,0.5280051972430396,0.0139815106282438,0.0246284501061569,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6143069134322108,0.4887333333333333,0.23,0.662,0.4776850003642928,0.5907972390830813,0.1352931369969592,0.2451804670912951,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.5731629991071855,0.4338333333333333,0.146,0.646,0.4292561574071502,0.5532153966291362,0.059255569225802,0.1053078556263269,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.5617919179830553,0.4191,0.132,0.608,0.4014231408571498,0.5439815586276543,0.0382408124679241,0.0677707006369427,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,C_SASRec_plus_evidence_risk,0.5516807720442785,0.4065333333333333,0.128,0.58,0.3812333887428632,0.5281710976951491,0.0195545266058088,0.0357537154989384,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.6057059611124588,0.4779666666666667,0.224,0.628,0.4558519838142923,0.5800590436406813,0.119397821598836,0.2177494692144374,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.5713386920161043,0.4318666666666667,0.152,0.62,0.4166375623357211,0.5528159182864872,0.055884089473592,0.1002972399150742,0.41,0.852,small_cross_domain_caution
movies_small,movies_small,sasrec,D_SASRec_plus_calibrated_relevance_plus_evidence_risk,0.5610549757731169,0.4187333333333333,0.14,0.59,0.3945901243071495,0.5382577157982036,0.0368788785306484,0.0668365180467091,0.41,0.852,small_cross_domain_caution
